id,country_id,year,Population growth,Urban population,Urban population growth,Fertility rate,Life expectancy (females),Life expectancy (males),Population distribution (children),Population distribution (elders),Migrant,Migrant ratio,Refugees,Infant mortality,Health expenditure,Physicians ratio,Education expenditure,Primary enroll ratio (females),Primary enroll ratio (males),Secondary enroll ratio (females),Secondary enroll ratio (males),Tertiary enroll ratio (females),Tertiary enroll ratio (males),Homicide rate,Women in parliaments
374,125,2010,3.0,15.5,3.7,5.7,55.2,51.5,46.2,4.5,217.7,1.4,15.2,79.7,7.2,0.0,3.5,134.6,131.5,30.3,33.8,0.5,0.8,3.4,20.8
375,125,2018,2.9,16.9,3.9,4.9,63.1,58.2,43.7,4.2,237.1,1.3,32.4,66.5,9.3,,4.7,141.3,137.2,35.3,39.5,0.6,0.9,1.7,16.7
376,126,2005,2.0,66.6,3.5,2.5,75.4,71.2,30.5,7.1,1722.3,6.7,106.1,6.8,2.9,0.7,5.9,100.0,100.0,,,,,2.4,9.1
377,126,2010,1.8,70.9,3.1,2.2,76.1,71.6,27.9,7.9,2406.0,8.6,212.9,6.8,3.3,1.2,5.0,100.7,99.8,,,,,1.9,9.9
378,126,2018,1.8,76.0,2.7,2.1,77.1,72.6,24.0,10.0,2703.6,8.5,238.2,6.5,4.0,1.5,4.8,103.8,103.1,87.9,82.6,48.3,40.3,2.1,10.4
379,127,2005,2.6,33.8,6.5,2.6,73.9,71.1,31.6,6.3,45.0,14.1,,26.7,8.8,1.0,5.0,117.0,121.1,74.6,64.0,0.3,0.1,1.3,12.0
380,127,2010,2.7,36.4,4.2,2.3,76.8,74.6,25.5,6.0,54.7,15.0,,14.8,9.3,1.6,4.1,105.4,109.3,,,13.4,9.5,1.6,6.5
381,127,2018,2.8,39.8,3.9,2.2,77.4,75.4,23.4,6.6,67.0,15.4,,9.0,11.5,3.6,4.3,101.7,101.4,,,20.5,9.9,0.8,5.9
382,128,2005,3.1,32.1,5.5,6.8,50.6,49.3,46.9,4.6,256.8,2.0,13.1,106.6,5.0,0.1,3.5,64.8,82.5,19.6,31.8,1.4,2.8,12.7,10.2
383,128,2010,3.3,36.0,5.6,6.7,54.6,53.4,47.5,4.2,336.6,2.2,15.3,89.1,4.4,0.1,3.3,76.8,89.6,31.9,46.4,3.6,8.6,12.2,10.2
384,128,2018,2.9,42.4,5.0,6.4,56.9,55.6,47.5,3.9,383.7,2.1,83.9,78.5,5.8,,3.8,72.2,81.8,36.6,49.1,3.2,7.7,10.9,8.8
385,129,2005,0.5,93.6,0.8,1.5,80.2,76.8,17.7,18.8,24.6,6.0,2.1,6.9,8.7,,4.5,95.7,98.0,100.3,104.5,37.3,27.5,1.0,9.2
386,129,2010,0.5,94.1,0.5,1.4,81.1,77.7,15.2,22.9,33.0,7.9,7.4,5.8,8.2,3.1,6.5,99.3,98.7,98.0,109.7,42.7,31.6,1.0,8.7
387,129,2018,0.5,94.6,0.6,1.4,82.0,78.6,14.5,26.6,45.5,10.6,9.6,4.8,9.6,3.9,7.2,106.6,102.6,97.8,93.8,56.8,41.5,0.9,11.9
388,130,2005,0.0,71.1,0.7,,70.6,67.0,40.6,3.6,2.4,4.6,,,26.3,,12.2,129.9,103.0,75.7,75.6,18.3,14.2,,3.0
389,130,2010,0.1,73.6,0.8,,,,40.9,4.5,3.1,5.9,,,19.3,0.6,,107.9,107.4,104.4,101.4,,,,3.0
390,130,2018,0.2,77.0,0.8,4.1,72.5,71.3,39.0,5.5,3.3,6.2,,25.4,22.1,0.5,,90.0,88.6,76.5,69.8,41.2,44.6,,9.1
391,131,2005,0.5,89.3,0.4,1.9,82.2,75.5,21.1,18.0,57.0,14.4,,8.5,,,,,,,,,,4.8,
