id,country_id,year,Population growth,Urban population,Urban population growth,Fertility rate,Life expectancy (females),Life expectancy (males),Population distribution (children),Population distribution (elders),Migrant,Migrant ratio,Refugees,Infant mortality,Health expenditure,Physicians ratio,Education expenditure,Primary enroll ratio (females),Primary enroll ratio (males),Secondary enroll ratio (females),Secondary enroll ratio (males),Tertiary enroll ratio (females),Tertiary enroll ratio (males),Homicide rate,Women in parliaments
483,161,2018,1.3,61.6,1.8,2.6,74.9,70.7,29.1,9.6,160.5,2.4,0.2,28.8,7.8,1.3,5.0,104.3,107.6,79.1,74.2,,,9.3,13.8
484,162,2005,1.3,75.0,1.8,2.8,74.3,69.0,31.7,8.1,77.5,0.3,1.2,27.4,4.6,,2.8,118.0,117.0,84.6,86.3,33.6,32.8,,18.3
485,162,2010,1.2,76.4,1.6,2.6,75.9,70.5,29.4,8.9,84.1,0.3,1.4,21.0,4.7,0.9,2.9,111.0,109.8,94.9,94.5,35.4,33.3,,27.5
486,162,2018,1.3,77.9,1.6,2.5,76.8,71.5,27.1,10.7,93.8,0.3,12.2,18.6,5.3,1.1,3.8,103.3,103.0,97.9,98.2,,,7.7,27.7
487,163,2005,2.0,45.7,1.8,3.7,70.8,64.4,37.1,5.4,257.5,0.3,0.9,28.1,3.9,1.1,2.4,105.4,106.5,87.6,78.3,30.4,24.7,7.5,15.3
488,163,2010,1.7,45.3,1.5,3.3,71.5,64.8,33.9,6.5,208.6,0.2,139.9,25.0,4.3,,2.7,107.5,108.6,87.5,80.9,33.0,26.4,9.5,21.0
489,163,2018,1.6,46.9,2.1,3.0,72.1,65.4,31.5,7.8,218.5,0.2,511.2,22.2,4.4,,,111.3,114.6,92.1,84.8,40.3,30.5,11.0,29.5
490,164,2005,-0.1,61.5,-0.2,1.3,78.8,70.4,16.6,17.0,722.5,1.9,6.3,7.1,5.8,,5.4,94.3,94.8,99.3,99.9,74.7,52.9,1.4,20.2
491,164,2010,0.0,60.9,-0.2,1.4,79.8,71.3,15.2,19.4,642.4,1.7,18.4,5.7,6.4,2.2,5.1,96.2,97.0,95.8,96.2,90.8,59.6,1.1,20.0
492,164,2018,0.0,60.1,-0.2,1.3,81.0,72.9,14.9,24.6,640.9,1.7,25.7,4.5,6.3,2.3,4.9,110.6,109.6,105.5,108.5,80.6,53.2,0.7,28.0
493,165,2005,0.4,57.5,1.5,1.5,81.0,74.1,15.4,22.5,771.2,7.3,0.4,4.5,9.4,3.4,5.1,114.6,120.3,102.1,92.8,62.6,47.9,1.3,19.1
494,165,2010,0.2,60.6,1.2,1.4,82.5,76.0,15.0,24.7,762.8,7.2,0.5,3.3,9.8,3.8,5.4,109.4,112.7,107.7,104.8,70.7,59.9,1.2,27.4
495,165,2018,-0.4,65.2,0.5,1.3,83.5,77.3,13.4,28.3,880.2,8.5,2.1,2.9,9.0,4.4,5.1,103.3,107.1,115.9,119.1,66.4,59.5,0.6,34.8
496,166,2005,-0.2,94.1,-0.2,1.8,80.9,72.7,22.3,16.7,352.1,9.4,,8.0,,,,,,,,,,20.5,
497,166,2010,-0.3,93.8,-0.3,1.7,81.8,73.8,20.6,18.1,305.0,8.2,,7.0,,,,95.8,92.5,85.4,80.8,103.2,69.9,27.4,
498,166,2018,-0.2,93.6,-0.3,1.5,83.2,75.2,17.6,20.8,273.5,7.5,,6.3,,,6.0,87.5,86.0,89.3,83.9,99.4,70.7,18.5,
499,167,2005,7.6,97.4,7.8,3.0,78.1,75.6,21.7,2.5,646.0,74.7,0.1,9.4,2.6,2.6,4.0,103.7,107.1,96.0,102.3,31.1,8.8,0.7,
500,167,2010,14.4,98.5,14.7,2.2,78.6,75.9,13.1,1.8,1456.4,81.8,1.3,7.8,1.8,3.9,4.5,105.9,104.7,103.3,99.2,25.6,4.8,0.2,0.0
501,167,2018,6.6,99.1,6.7,2.0,79.4,76.8,13.9,3.1,1721.4,65.2,1.5,7.2,3.1,2.0,3.6,103.4,104.0,100.7,85.8,47.1,6.4,0.4,9.8
502,168,2005,0.6,81.3,1.0,1.2,80.6,73.6,18.8,12.8,485.5,1.0,0.6,5.0,5.1,1.8,3.9,100.7,101.4,98.2,96.0,70.9,110.8,,13.0
503,168,2010,0.3,81.9,0.5,1.2,82.7,76.0,16.1,15.3,919.3,1.9,1.2,3.5,6.5,2.0,4.7,101.7,101.7,96.1,96.6,86.8,116.7,,14.7
504,168,2018,0.4,81.5,0.3,1.2,84.4,77.9,13.4,21.1,1151.9,2.3,9.4,3.0,7.4,2.3,5.1,97.8,97.4,100.3,100.1,80.6,104.6,0.7,17.0
505,169,2005,-0.2,42.8,-1.0,1.2,71.6,63.6,18.5,13.6,174.0,4.2,1.8,18.9,9.6,,7.2,97.2,98.6,90.0,86.2,42.9,29.5,7.1,15.8
506,169,2010,-0.4,42.6,-0.4,1.3,72.1,64.4,16.5,14.1,157.7,3.9,2.3,15.5,12.2,2.4,9.1,93.3,93.7,89.0,87.0,43.7,32.7,6.5,23.8
507,169,2018,-0.1,42.6,-0.2,1.3,75.2,66.7,15.8,18.0,140.0,3.5,5.2,14.3,10.2,3.2,6.7,91.9,92.9,86.5,85.8,47.4,35.3,3.2,22.8
508,170,2005,-0.6,53.2,-0.6,1.3,75.2,67.9,15.9,19.6,145.2,0.7,2.7,16.9,5.5,2.0,3.5,107.7,109.2,84.5,82.9,50.8,40.2,2.1,11.4
509,170,2010,-0.9,53.8,-0.7,1.4,76.7,69.5,15.8,21.4,166.1,0.8,1.7,12.0,5.7,2.5,3.5,96.8,98.3,96.8,97.6,75.9,55.3,2.0,11.4
510,170,2018,-0.6,54.0,-0.5,1.5,78.4,71.4,15.2,25.3,370.8,1.9,3.8,8.7,5.0,2.7,3.1,88.9,90.0,88.6,89.3,53.3,43.0,1.2,20.7
511,171,2005,-0.4,73.5,-0.4,1.3,72.0,58.6,15.2,17.2,11667.6,8.1,483.1,16.2,5.1,,3.8,95.4,95.2,82.5,83.4,84.3,61.3,24.8,9.8
512,171,2010,-0.1,73.7,0.0,1.4,73.7,61.0,14.9,18.0,11194.7,7.8,132.6,10.7,5.3,5.0,4.1,99.5,99.0,84.3,85.7,86.9,64.3,14.9,14.0
513,171,2018,0.1,74.4,0.2,1.7,75.9,64.7,17.8,21.5,11651.5,8.1,282.6,8.3,5.6,4.0,3.8,102.3,101.8,104.0,105.6,89.3,74.7,10.8,15.8
514,172,2005,2.3,16.9,4.8,5.4,51.5,49.6,41.7,4.1,432.8,4.8,64.4,90.7,7.5,0.0,5.7,138.1,137.2,15.4,17.3,2.0,3.5,,48.8
515,172,2010,2.6,16.9,2.6,4.8,61.5,58.6,41.8,4.1,436.8,4.3,55.7,59.8,9.3,0.1,4.9,146.9,143.3,32.8,33.1,5.0,6.4,2.8,56.3
516,172,2018,2.5,17.2,2.6,4.2,67.1,63.1,39.8,5.0,443.1,3.6,173.8,44.0,7.9,0.1,3.5,136.8,137.3,38.4,34.9,6.9,9.1,2.5,61.3
517,173,2005,1.4,96.3,2.5,2.4,80.6,73.0,26.9,10.3,115.1,14.5,,7.6,,,,,,,,,,3.2,
518,173,2010,1.0,98.5,1.4,2.4,81.9,74.5,25.4,12.2,123.0,14.8,,5.6,,,,,,,,,,1.8,
519,173,2018,0.8,99.6,0.9,2.4,82.9,76.0,23.2,17.0,129.2,14.7,,4.2,,,,,,,,,,,
520,174,2005,-3.6,39.9,-3.8,,,,,,0.5,11.4,,,,,,,,,,,,0.0,
521,174,2010,-0.5,39.5,-0.7,,,,,,0.6,13.6,,,,,,,,,,,,0.0,
522,174,2018,-0.7,39.8,-0.7,,,,,,0.6,15.0,,,,,,,,,,,,,
523,175,2005,1.4,32.0,0.9,,,,28.0,9.9,6.7,13.7,,,5.1,1.1,3.9,,,,,,,16.5,0.0
524,175,2010,1.1,31.3,0.7,,,,,,7.2,14.1,,,5.7,,4.3,,,,,,,40.8,6.7
525,175,2018,1.1,30.8,0.8,,,,,,7.6,13.7,0.0,,5.6,,2.8,,,,,,,34.2,13.3
526,176,2005,0.8,23.1,-2.9,1.8,74.0,70.1,27.7,9.8,11.5,7.0,,14.2,5.6,0.5,5.1,100.5,105.1,84.0,71.5,19.0,7.0,25.0,11.1
527,176,2010,1.1,18.4,-3.4,1.6,76.6,71.4,23.2,12.1,12.1,7.0,0.0,11.8,6.6,0.1,3.9,98.1,103.3,94.1,95.2,18.0,7.0,25.5,11.1
528,176,2018,0.5,18.7,0.6,1.5,77.6,72.2,18.5,14.1,12.9,7.2,0.0,10.9,6.0,,5.7,,,88.3,87.4,25.4,13.0,19.3,16.7
529,177,2005,0.0,89.9,0.1,,,,,,1.1,18.3,,,,,,,,,,,,,
530,177,2010,0.0,89.9,0.0,,,,19.1,17.8,1.0,16.2,,,,,,,,,,,,15.9,
531,177,2018,0.0,89.9,0.1,,,,,,1.0,15.7,,,,,,,,,,,,,
532,178,2005,0.2,47.0,1.0,2.2,73.3,68.3,28.5,9.4,4.4,4.0,,21.2,3.7,0.6,6.4,112.3,123.9,99.5,79.5,,,23.9,22.7
533,178,2010,0.1,49.0,0.9,2.1,74.0,69.8,26.5,9.5,4.5,4.1,,18.5,4.4,,5.1,101.2,108.8,108.8,106.3,,,22.9,21.7
534,178,2018,0.0,52.2,0.8,2.0,74.9,70.7,23.5,12.2,4.6,4.2,,16.5,4.2,,5.8,102.1,104.6,106.2,107.6,,,36.5,13.0
535,179,2005,0.6,21.2,-0.1,4.4,73.6,67.2,39.6,6.9,5.7,3.2,,25.7,5.2,0.3,3.8,109.8,109.0,88.2,78.2,7.2,7.8,,6.1
536,179,2010,0.7,20.1,-0.4,4.5,75.4,69.1,38.3,7.2,5.1,2.8,,21.3,5.3,0.3,5.1,109.9,111.5,93.6,82.3,,,8.6,8.2
537,179,2018,0.8,18.2,-0.4,4.2,77.4,71.1,36.4,8.7,4.9,2.5,0.0,18.0,5.6,,4.1,108.3,107.0,88.6,80.3,,,3.1,10.0
538,180,2005,1.3,94.5,1.5,1.3,84.0,77.4,15.2,21.5,4.2,14.4,,,4.1,,,,,,,,,0.0,16.7
539,180,2010,1.2,95.7,1.5,,,,20.9,21.6,4.4,14.1,,,5.8,,2.3,100.6,88.8,98.2,96.3,77.3,53.0,0.0,16.7
540,180,2018,1.2,97.2,1.4,,86.4,81.7,15.0,24.1,5.2,15.7,,,6.8,6.4,2.4,92.6,93.9,95.9,93.5,69.9,50.5,0.0,26.7
541,181,2005,2.3,59.2,4.4,5.1,65.6,62.0,44.1,5.6,3.4,2.2,,51.8,12.1,0.5,5.3,124.0,129.0,43.8,41.3,,,,9.1
542,181,2010,2.3,65.0,4.2,4.9,67.4,63.6,44.1,4.7,2.7,1.5,,46.0,5.3,,9.7,117.1,118.3,52.0,51.1,4.2,4.3,3.4,7.3
543,181,2018,2.2,72.8,3.8,4.7,68.2,64.0,42.4,4.4,2.3,1.1,,43.8,9.8,,3.7,108.1,112.4,96.0,83.5,13.3,12.8,3.4,18.2
544,182,2005,2.8,81.0,3.1,3.6,74.6,71.5,33.8,4.4,6501.8,27.2,311.0,17.5,3.4,0.7,5.4,94.7,96.2,84.4,89.7,35.2,23.8,1.2,0.0
545,182,2010,2.7,82.1,3.0,3.2,74.8,71.9,29.8,4.5,8430.0,30.7,70.7,14.7,3.5,2.4,5.1,105.6,106.5,88.6,100.0,39.1,34.0,1.0,0.0
546,182,2018,2.8,83.8,3.1,2.7,75.6,72.7,24.9,5.8,12185.3,37.0,70.2,13.0,5.8,2.6,,115.2,117.3,101.5,131.3,66.7,66.5,1.5,19.9
547,183,2005,2.6,41.7,3.3,5.3,60.6,57.3,43.7,4.9,238.3,2.1,23.4,61.1,4.6,0.1,5.1,77.5,80.6,18.9,25.2,,,9.3,19.2
548,183,2010,2.8,43.8,3.7,5.1,63.8,61.0,43.2,4.7,256.1,2.0,24.2,51.1,4.0,0.1,6.5,85.4,80.9,33.3,38.2,5.5,9.3,8.5,22.7
549,183,2018,3.0,47.2,3.9,5.0,67.5,63.8,42.7,4.7,265.6,1.7,17.9,43.9,4.0,0.1,7.1,87.9,78.4,48.4,47.8,7.9,13.2,7.4,41.8
550,184,2005,-0.6,53.9,-0.2,1.7,75.4,69.4,18.6,19.0,845.1,9.2,486.9,14.1,8.7,,,103.0,102.5,90.0,87.3,50.1,38.6,1.6,
551,184,2010,-0.4,55.0,0.0,1.6,76.1,70.6,17.3,21.0,826.1,9.1,312.6,12.4,10.1,2.5,4.6,95.6,96.1,92.4,90.5,55.6,42.8,1.4,21.6
552,184,2018,-0.4,56.1,-0.1,1.6,77.5,71.8,16.3,24.8,801.9,9.1,254.3,9.8,9.4,2.5,4.0,100.5,100.7,96.9,95.6,70.9,53.9,1.4,34.4
553,185,2005,1.8,51.7,2.3,2.2,76.8,67.9,24.9,9.2,9.0,10.1,,10.6,3.9,1.2,5.4,108.0,110.1,84.8,79.0,,,11.4,29.4
554,185,2010,0.6,53.3,1.2,2.3,77.3,68.0,22.8,10.0,11.4,12.5,,10.2,3.6,1.1,4.8,112.1,108.8,77.0,72.5,,,9.8,23.5
555,185,2018,0.5,56.7,1.3,2.4,77.9,68.7,22.4,13.8,12.9,13.6,0.0,10.2,3.4,1.0,3.6,112.4,113.2,96.1,89.9,27.2,14.7,12.7,21.2
556,186,2005,4.3,36.9,5.0,6.1,42.6,40.1,44.4,4.1,149.6,2.6,66.3,134.9,9.8,0.0,2.8,60.9,87.1,20.0,28.3,1.1,2.7,1.7,14.5
557,186,2010,2.6,38.9,3.7,5.6,46.7,45.0,44.0,4.1,97.5,1.5,8.6,116.9,9.2,0.0,2.6,,,,,,,2.5,13.2
558,186,2018,2.3,42.1,3.3,4.8,50.7,49.6,41.7,4.2,95.2,1.3,0.7,94.4,18.3,,2.9,115.2,114.4,38.6,42.4,,,1.7,12.4
559,187,2005,2.8,100.0,2.8,1.3,81.8,76.7,19.1,12.6,1710.6,38.1,0.0,2.5,3.0,1.5,3.2,,,,,,,0.5,16.0
560,187,2010,2.4,100.0,2.4,1.3,83.7,78.7,17.3,14.1,2164.8,42.7,0.0,2.2,3.2,1.7,3.1,,,,,,,0.4,23.4
561,187,2018,1.7,100.0,1.7,1.2,84.5,80.1,14.7,20.4,2623.4,46.0,0.0,2.1,4.3,2.3,2.9,100.7,100.9,107.7,108.6,,,0.3,23.0
562,188,2005,0.4,100.0,0.4,,,,,,13.1,40.3,,,,,,,,,,,,,
563,188,2010,0.4,100.0,0.4,,77.2,72.0,,,26.2,79.1,0.0,,,,,,,,,,,,
564,188,2018,3.1,100.0,3.1,,77.1,69.2,21.0,10.4,28.3,70.4,0.0,,,,,,,,,,,,
565,189,2005,0.0,55.6,-0.2,1.2,77.8,69.8,16.8,16.1,130.5,2.4,3.1,7.3,6.6,,3.8,97.6,98.8,93.7,92.8,45.6,35.4,1.7,16.7
566,189,2010,0.0,54.7,-0.3,1.3,78.6,70.8,15.3,17.8,146.3,2.7,1.6,6.2,7.8,3.3,4.1,101.0,101.9,92.8,91.8,69.6,45.0,1.5,18.0
567,189,2018,0.1,53.7,-0.2,1.4,79.8,72.6,15.5,22.3,184.6,3.4,2.5,5.7,6.9,3.4,4.6,98.1,98.9,91.5,90.5,64.3,41.6,1.0,20.0
568,190,2005,0.1,51.5,0.4,1.2,80.4,72.8,14.0,20.8,197.3,9.9,1.2,4.0,8.0,,5.6,99.3,101.0,96.8,97.4,93.4,65.6,1.0,12.2
569,190,2010,0.5,52.7,0.9,1.4,82.0,75.0,14.1,22.2,253.8,12.4,4.6,3.2,8.6,2.4,5.6,98.5,99.4,98.1,99.2,107.3,72.3,0.7,14.4
570,190,2018,0.3,54.5,0.7,1.6,83.2,77.2,15.1,26.8,244.8,11.8,0.9,2.5,8.5,2.8,5.3,99.6,99.2,109.9,109.6,95.6,65.3,0.5,36.7
571,191,2005,2.6,17.8,5.0,4.6,66.0,63.5,41.3,4.8,3.3,0.7,,49.9,10.1,0.2,,97.8,103.2,27.4,33.2,,,5.5,0.0
572,191,2010,2.3,20.0,4.7,4.4,68.8,66.1,40.8,5.1,2.8,0.5,,38.7,7.4,0.2,10.0,113.1,116.0,44.9,51.9,,,3.8,0.0
573,191,2018,2.1,23.7,4.3,4.1,71.1,68.3,38.5,5.5,2.5,0.4,0.0,30.0,8.0,0.2,,114.0,115.4,47.0,49.5,,,,2.0
574,192,2005,2.9,36.3,4.6,7.5,53.1,50.0,47.9,4.3,20.7,0.2,400.6,97.0,,,,,,,,,,5.0,
575,192,2010,2.9,39.3,4.5,7.1,54.8,51.6,47.7,4.3,24.0,0.2,1489.8,89.8,,0.0,,16.8,30.3,3.8,8.2,,,5.3,6.9
576,192,2018,2.9,45.0,4.8,6.6,56.5,53.3,46.3,4.4,44.9,0.3,1620.6,79.5,,0.0,,,,,,,,4.3,24.4
577,193,2005,1.3,59.5,2.2,2.8,56.7,51.2,31.7,6.7,1210.9,2.5,169.9,60.5,6.7,0.7,5.1,100.7,104.5,93.1,87.2,,,38.0,32.8
578,193,2010,1.1,62.2,2.0,2.6,55.6,50.6,30.4,7.2,2096.9,4.1,229.7,52.7,7.4,0.7,5.7,95.8,99.9,94.7,89.4,,,30.8,44.5
579,193,2018,1.4,66.4,2.2,2.6,63.0,56.1,28.8,8.5,4036.7,7.1,308.2,36.5,8.2,0.8,5.9,99.0,106.6,102.0,103.5,23.2,16.4,34.0,42.4
580,194,2005,3.8,17.2,4.6,6.0,51.3,49.1,44.3,5.1,,,,101.4,,,,,,,,,,,
581,194,2010,4.3,17.9,5.1,5.6,53.3,51.3,43.3,5.3,257.9,2.6,,89.1,,,,,,,,,,,
582,194,2018,3.3,19.6,4.4,5.2,56.0,54.1,41.5,5.1,845.2,6.7,2222.1,77.7,2.5,,1.8,55.1,77.8,6.9,12.8,,,13.9,28.5
583,195,2005,1.5,77.3,1.7,1.3,83.3,76.5,14.3,21.6,4107.2,9.3,5.4,4.0,7.7,4.5,4.1,102.2,103.6,121.1,113.6,74.2,60.4,1.2,36.0
584,195,2010,1.2,78.4,1.5,1.4,84.3,78.1,14.6,22.4,6280.1,13.4,6.6,3.4,9.0,3.8,4.8,105.2,105.7,125.5,122.8,87.1,70.3,0.9,36.6
585,195,2018,-0.2,80.3,0.1,1.3,85.3,79.6,14.6,25.8,5947.1,12.8,36.4,2.9,9.2,3.9,4.3,104.5,103.3,128.4,127.5,99.2,83.5,0.6,39.1
586,196,2005,0.8,18.3,0.7,2.3,77.1,69.6,25.6,10.4,39.5,0.2,352.1,13.1,3.8,0.5,,99.3,99.9,,,,,6.2,4.9
587,196,2010,0.7,18.2,0.6,2.3,77.7,70.6,25.4,11.8,39.0,0.2,435.3,10.1,3.0,0.7,1.7,98.4,101.0,97.5,96.3,20.9,11.7,3.8,5.8
588,196,2018,0.5,18.5,0.5,2.1,78.0,71.2,23.7,15.4,40.0,0.2,41.7,8.2,3.0,0.9,3.5,100.8,103.0,99.3,96.0,22.9,14.8,2.5,5.8
589,197,2005,2.1,73.1,2.4,5.0,72.9,69.5,45.6,4.0,266.6,7.5,,24.9,,,,87.9,88.5,91.7,87.7,41.2,40.6,2.4,
590,197,2010,2.6,74.1,2.9,4.6,73.9,70.2,42.4,4.3,258.0,6.3,,22.3,,,6.7,90.1,91.9,89.0,82.4,54.9,41.1,0.8,
591,197,2018,2.7,76.2,3.1,4.2,74.8,71.1,39.3,4.7,253.7,5.2,0.0,20.0,,,5.7,94.0,93.9,88.0,79.9,52.8,33.1,0.7,
592,198,2005,2.5,32.8,2.7,5.3,61.3,57.5,43.5,4.9,,,1029.7,61.8,4.1,0.2,1.6,59.2,67.5,37.3,40.2,13.0,11.5,,
593,198,2010,2.1,33.1,2.3,5.0,63.2,59.8,43.0,5.1,578.4,1.7,1951.5,53.7,5.3,0.3,2.2,68.1,75.8,39.6,45.6,17.3,14.7,5.2,
594,198,2018,2.3,34.6,2.8,4.8,65.1,62.1,40.5,5.6,735.8,1.8,2867.8,48.7,6.3,,,70.3,76.7,45.5,46.1,17.5,16.5,,30.5
595,199,2005,1.1,66.7,1.2,2.8,71.7,64.8,30.8,8.5,33.7,6.7,,24.2,7.7,0.8,,104.6,106.7,79.3,59.6,15.8,9.6,13.8,19.6
596,199,2010,1.1,66.3,1.0,2.6,73.1,66.4,28.7,9.1,39.7,7.5,0.0,22.2,5.4,,,115.9,116.7,81.1,63.2,,,8.3,25.5
597,199,2018,1.0,66.1,0.9,2.5,74.2,67.8,26.2,10.6,47.7,8.5,0.1,17.4,6.5,,,121.0,120.9,89.7,68.1,,,,25.5
598,200,2005,0.4,84.3,0.4,1.7,82.3,77.9,17.4,23.5,1125.8,12.5,96.4,3.2,8.3,,6.6,95.7,95.9,103.8,104.3,99.9,64.8,0.9,45.3
599,200,2010,0.8,85.1,0.9,1.9,83.1,79.0,16.5,24.9,1337.2,14.2,110.8,2.6,8.5,3.9,6.6,101.2,101.7,97.6,98.6,89.6,58.5,1.0,46.4
600,200,2018,0.8,87.4,1.1,1.9,83.7,80.0,17.7,25.6,1747.7,17.6,339.0,2.4,11.0,4.2,7.7,125.5,120.5,150.0,131.5,75.6,49.6,1.1,43.6
601,201,2005,0.7,73.5,0.7,1.4,83.1,77.7,16.3,21.3,1805.4,24.4,63.4,4.6,10.3,,5.2,101.8,102.1,92.1,97.9,42.4,48.9,1.0,25.0
602,201,2010,1.1,73.6,1.1,1.5,84.1,79.3,15.1,22.8,2075.2,26.5,61.9,4.2,10.7,3.8,4.9,102.3,102.8,94.3,97.2,52.5,53.0,0.7,29.0
603,201,2018,1.2,73.8,1.2,1.5,84.8,80.5,14.9,24.5,2506.4,29.6,114.8,3.9,12.1,4.2,5.1,104.0,104.8,100.3,104.2,58.4,57.3,0.5,32.5
604,202,2005,2.2,53.8,2.9,3.8,75.9,71.4,39.1,4.9,876.4,4.8,328.0,17.7,4.1,1.6,5.4,118.4,121.9,68.1,71.2,17.1,19.1,2.4,12.0
605,202,2010,2.8,55.6,3.4,3.4,77.3,72.0,36.4,5.1,1785.1,8.5,1308.1,15.0,3.4,1.5,5.1,116.5,120.8,72.4,72.3,24.0,27.8,2.2,12.4
606,202,2018,-2.3,54.2,-3.6,3.1,76.3,64.4,35.7,7.1,1013.8,5.5,6544.6,17.9,3.6,1.5,,74.7,77.3,49.3,49.3,42.7,36.0,,13.2
607,203,2005,2.0,26.5,2.0,3.6,69.6,63.6,38.1,5.1,280.4,4.1,1.1,62.9,5.2,2.0,3.5,96.9,100.2,73.6,88.5,13.4,28.0,2.3,12.7
608,203,2010,2.2,26.5,2.2,3.5,71.9,66.0,35.7,4.9,278.2,3.6,7.1,48.9,5.8,1.7,4.0,98.0,100.4,78.3,89.7,15.8,29.9,2.4,17.5
609,203,2018,2.2,27.1,2.4,3.5,73.5,67.7,35.3,6.0,273.3,3.1,18.1,38.9,6.9,1.7,5.2,98.1,99.5,82.7,92.0,26.4,35.2,1.6,19.0
610,204,2005,0.8,37.4,4.3,1.6,74.9,67.7,21.3,11.1,2163.4,3.3,149.4,16.7,3.4,0.3,3.9,100.4,103.3,75.4,71.9,47.2,42.0,7.3,8.8
611,204,2010,0.5,43.9,3.7,1.6,76.6,69.8,19.2,12.9,3224.1,4.8,649.4,13.4,3.6,0.4,3.5,96.2,97.4,85.3,79.6,56.5,44.3,5.4,13.3
612,204,2018,0.4,49.9,2.1,1.5,78.4,70.8,17.0,17.6,3588.9,5.2,593.5,11.2,3.8,0.5,4.1,97.5,103.5,118.1,123.0,54.2,37.8,3.2,4.8
613,205,2005,0.2,57.5,-0.1,1.6,76.4,71.3,20.2,15.3,127.7,6.2,4.4,12.9,8.4,,3.3,92.5,94.5,80.2,82.8,34.1,24.6,2.1,19.2
614,205,2010,0.1,57.1,-0.1,1.5,76.3,72.1,17.9,16.4,129.7,6.3,3.3,10.8,7.0,2.7,,86.7,88.0,81.0,83.4,40.4,34.7,2.1,32.5
615,205,2018,0.1,58.0,0.2,1.5,77.2,73.2,16.6,19.9,131.0,6.3,1.2,9.0,6.1,2.9,,93.7,94.1,81.2,82.6,45.9,36.7,1.6,37.5
616,206,2005,3.3,26.0,4.7,7.0,63.0,60.0,49.2,4.3,11.3,1.1,0.0,64.0,1.3,0.1,,85.2,93.2,51.8,53.2,9.3,8.1,4.5,25.3
617,206,2010,1.6,27.7,2.8,6.5,67.6,65.2,45.6,5.1,11.5,1.0,0.0,50.2,1.3,0.1,11.0,116.3,121.4,60.8,60.6,15.8,21.9,3.5,29.2
618,206,2018,2.2,30.6,3.5,5.9,69.5,66.1,43.5,5.5,12.1,0.9,0.0,43.9,3.1,0.1,7.5,108.3,110.6,77.1,71.7,,,3.9,32.3
619,207,2005,2.7,35.2,4.0,5.3,54.7,53.0,42.6,4.5,203.4,3.6,18.7,77.3,4.2,0.0,3.4,104.1,122.5,31.3,58.8,,,10.7,6.2
620,207,2010,2.7,37.5,4.0,5.0,56.4,55.1,42.5,4.4,255.3,3.9,14.2,63.2,6.3,0.1,4.4,120.6,133.7,30.7,57.9,,,9.6,11.1
621,207,2018,2.6,41.7,4.0,4.7,59.8,58.3,41.3,4.6,284.0,3.6,13.3,55.7,6.6,,5.1,120.8,127.0,,,7.4,17.1,9.0,17.6
622,208,2005,-5.0,0.0,0.0,,,,40.7,9.5,0.3,21.4,,,,,,132.6,101.8,75.8,83.3,,,,
623,208,2010,-1.3,0.0,0.0,,,,36.6,11.3,0.4,37.6,,,,,,,,,,,,,
624,208,2018,1.9,0.0,0.0,2.1,,,28.3,12.2,0.5,38.8,,,,,,95.2,107.7,70.7,69.6,,,,
625,208,2005,-5.0,0.0,0.0,,,,40.7,9.5,0.3,21.4,,,,,,132.6,101.8,75.8,83.3,,,,
626,208,2010,-1.3,0.0,0.0,,,,36.6,11.3,0.4,37.6,,,,,,,,,,,,,
627,208,2018,1.9,0.0,0.0,2.1,,,28.3,12.2,0.5,38.8,,,,,,95.2,107.7,70.7,69.6,,,,
628,208,2005,-5.0,0.0,0.0,,,,40.7,9.5,0.3,21.4,,,,,,132.6,101.8,75.8,83.3,,,,
629,208,2010,-1.3,0.0,0.0,,,,36.6,11.3,0.4,37.6,,,,,,,,,,,,,
630,208,2018,1.9,0.0,0.0,2.1,,,28.3,12.2,0.5,38.8,,,,,,95.2,107.7,70.7,69.6,,,,
631,208,2005,-5.0,0.0,0.0,,,,40.7,9.5,0.3,21.4,,,,,,132.6,101.8,75.8,83.3,,,,
632,208,2010,-1.3,0.0,0.0,,,,36.6,11.3,0.4,37.6,,,,,,,,,,,,,
633,208,2018,1.9,0.0,0.0,2.1,,,28.3,12.2,0.5,38.8,,,,,,95.2,107.7,70.7,69.6,,,,
634,208,2005,-5.0,0.0,0.0,,,,40.7,9.5,0.3,21.4,,,,,,132.6,101.8,75.8,83.3,,,,
635,208,2010,-1.3,0.0,0.0,,,,36.6,11.3,0.4,37.6,,,,,,,,,,,,,
636,208,2018,1.9,0.0,0.0,2.1,,,28.3,12.2,0.5,38.8,,,,,,95.2,107.7,70.7,69.6,,,,
637,209,2005,0.6,23.2,0.7,4.2,73.5,68.8,38.2,8.3,4.3,4.3,,23.5,4.6,0.3,3.9,110.1,113.4,116.3,105.5,8.0,4.8,4.0,0.0
638,209,2010,0.6,23.4,0.8,4.0,74.7,69.0,37.4,8.0,4.6,4.4,0.0,22.0,4.9,0.6,,107.3,109.4,107.2,100.4,,,1.0,3.1
639,209,2018,0.4,23.1,0.3,3.8,75.6,69.6,35.4,8.7,5.0,4.6,,20.6,5.9,,,107.4,108.6,94.2,86.4,,,1.0,7.4
640,210,2005,0.5,55.0,0.1,1.8,72.5,65.1,21.8,10.8,44.8,3.5,,28.9,4.9,0.8,3.1,97.8,100.7,88.5,82.6,13.4,10.6,29.8,19.4
