id,country_id,year,GDP,GDP growth,GDP per capita,Agriculture,Industry,Services,Agriculture employment,Industry employment,Services employment,Unemployment rate,Labour participation (females),Labour participation (males),CPI,Agricultural index,Industrial index,Exports,Imports,Trade balance,Current account
522,176,2018,1397,0.7,7848.0,3.0,13.5,83.5,15.3,17.4,67.2,20.4,61.4,75.9,108,65,,104,731,-627,-31
523,177,2005,,,,,,,,,,,,,,94,,31,216,-185,
524,177,2010,,,,,,,,,,,,,,110,,137,747,-610,
525,177,2018,,,,,,,,,,,,,,115,,780,2991,- 2 211,
526,178,2005,551,2.5,5065.0,6.2,18.6,75.1,7.2,12.6,80.3,18.9,54.7,80.8,81,104,,40,240,-201,-102
527,178,2010,681,-3.3,6232.0,7.1,19.2,73.7,6.8,13.1,80.0,18.8,57.3,81.0,100,119,,42,379,-338,-208
528,178,2018,765,1.3,6980.0,8.2,17.4,74.4,6.0,12.7,81.3,18.3,58.7,80.1,107,110,,39,315,-276,-122
529,179,2005,434,5.1,2414.0,12.3,30.6,57.2,7.1,14.8,78.1,2.1,24.6,40.8,76,101,,87,239,-151,-48
530,179,2010,679,4.3,3648.0,9.1,25.8,65.1,5.9,15.3,78.8,4.8,24.3,40.4,100,107,,70,310,-240,-44
531,179,2018,822,5.8,4214.0,10.4,22.7,66.9,5.8,15.0,79.2,8.1,23.7,38.7,112,118,,44,356,-312,-32
532,180,2005,2027,2.3,69338.0,0.0,38.2,61.8,0.5,39.3,60.2,,53.8,79.2,,,,,,,
533,180,2010,2139,-4.6,68767.0,0.0,35.4,64.6,0.3,34.3,65.4,4.4,,,,,,,,,
534,180,2018,1591,1.0,47910.0,0.0,34.8,65.1,,,,6.6,,,109,,,,,,
535,181,2005,126,7.1,811.0,18.3,14.9,66.8,27.9,17.2,54.9,16.5,38.8,73.5,39,101,,3,50,-46,-36
536,181,2010,197,6.7,1130.0,11.8,18.2,70.1,23.9,16.1,60.0,14.6,40.1,75.5,100,104,,6,112,-106,-88
537,181,2018,343,0.1,1715.0,11.5,16.7,71.9,16.0,13.9,70.2,13.4,41.2,75.3,172,109,,11,147,-136,-73
538,182,2005,328461,5.6,13740.0,3.2,61.8,35.0,4.0,20.0,75.9,6.0,17.7,74.0,81,100,100,180278,57233,123045,90060
539,182,2010,528207,5.0,19260.0,2.6,58.2,39.1,4.3,21.4,74.4,5.6,18.2,74.4,100,103,112,250577,103622,146955,66751
540,182,2018,639617,1.4,19817.0,2.7,43.1,54.2,6.4,22.6,71.1,5.6,22.3,79.7,116,106,135,251648,123934,127714,- 23 843
541,183,2005,8708,5.6,774.0,16.8,23.6,59.6,40.6,17.4,42.0,8.9,34.2,69.8,,110,100,1471,3498,- 2 027,-676
542,183,2010,12926,4.2,1001.0,17.5,23.4,59.2,53.3,19.6,27.0,10.2,42.4,69.6,100,151,104,2088,4782,- 2 694,-589
543,183,2018,14605,6.5,948.0,17.1,23.4,59.6,52.8,20.2,27.0,4.8,45.9,69.9,109,145,102,2989,6729,- 3 740,
544,184,2005,26252,5.5,3528.0,12.0,29.3,58.7,23.3,27.6,49.1,20.8,45.4,64.5,65,,100,,,,
545,184,2010,39460,0.6,5412.0,10.2,28.4,61.4,22.6,22.3,55.0,19.2,42.9,59.4,100,103,97,9795,16735,- 6 940,- 2 692
546,184,2018,38300,2.8,5426.0,7.9,31.3,60.8,18.7,24.5,56.8,13.1,45.6,61.2,139,105,96,16959,22146,- 5 187,- 2 355
547,185,2005,919,9.0,10357.0,3.8,19.4,76.8,,,,5.5,,,54,99,,340,675,-335,-174
548,185,2010,970,5.9,10612.0,2.7,16.5,80.8,,,,,,,100,92,,418,1180,-763,-214
549,185,2018,1434,1.5,15217.0,2.0,12.6,85.4,3.6,17.9,78.2,4.1,61.9,68.3,123,99,,497,2141,- 1 644,-296
550,186,2005,1650,4.5,292.0,51.0,11.6,37.4,65.9,6.1,28.0,3.6,64.4,65.7,,94,,154,341,-187,-105
551,186,2010,2578,5.3,399.0,55.2,8.1,36.7,63.7,6.4,29.8,4.3,60.5,61.9,100,147,,319,776,-457,-585
552,186,2018,3675,6.1,497.0,59.9,5.8,34.3,59.8,6.2,34.0,4.4,57.0,58.6,176,195,,324,893,-569,-162
553,187,2005,127418,7.5,28372.0,0.1,32.4,67.6,0.9,21.8,77.2,5.6,52.4,76.3,88,90,,230344,200724,29619,28105
554,187,2010,236420,15.2,46592.0,0.0,27.6,72.3,0.1,30.4,69.5,3.2,57.1,77.2,100,92,,351867,310791,41076,55421
555,187,2018,296946,2.0,52814.0,0.0,26.1,73.8,0.1,16.2,83.7,1.8,60.3,76.5,113,115,,373255,327710,45545,60989
556,188,2005,708,,21762.0,0.3,16.4,83.3,,,,,,,,,,,,,
557,188,2010,896,1.1,27065.0,0.1,13.4,86.5,,,,,,,,,,,,,
558,188,2018,1072,0.4,27116.0,0.1,9.2,90.7,,,,,,,,,,,,,47
559,189,2005,48965,6.8,9069.0,3.6,36.1,60.3,4.8,38.8,56.4,16.3,51.3,68.6,87,102,100,32210,34226,- 2 016,- 5 125
560,189,2010,89501,5.0,16561.0,2.8,35.2,62.0,3.2,37.1,59.6,14.4,50.6,67.6,100,82,127,63999,64382,-383,- 4 211
561,189,2018,89769,3.3,16489.0,3.7,34.8,61.5,2.8,36.1,61.1,6.8,52.2,67.4,110,98,158,84525,82994,1532,- 2 044
562,190,2005,36345,4.0,18206.0,2.6,34.1,63.3,9.1,37.1,53.8,6.5,52.8,66.0,87,99,100,17896,19626,- 1 730,-680
563,190,2010,48014,1.2,23477.0,2.0,30.6,67.4,8.8,32.6,58.6,7.2,53.2,65.5,100,91,103,24435,26592,- 2 157,-55
564,190,2018,44709,3.1,21517.0,2.2,32.3,65.5,4.8,31.8,63.4,6.7,51.4,60.4,107,88,104,28773,28192,581,3132
565,191,2005,429,12.8,914.0,30.4,7.5,62.1,71.2,8.4,20.5,2.2,63.9,81.7,66,103,,70,139,-68,-90
566,191,2010,720,10.6,1363.0,28.7,13.3,57.9,69.5,9.1,21.4,2.1,63.4,81.4,100,111,,215,328,-112,-144
567,191,2018,1134,3.2,1892.0,26.9,15.2,57.9,69.7,9.8,20.6,2.1,62.4,80.3,127,113,,500,572,-72,-46
568,192,2005,2316,3.0,222.0,60.1,7.4,32.6,86.7,7.2,6.1,5.9,17.5,76.0,,103,,379,469,-90,
569,192,2010,1071,2.6,89.0,60.2,7.4,32.5,86.4,7.4,6.2,6.0,17.5,75.0,,105,,568,496,72,
570,192,2018,1318,2.6,92.0,60.2,7.4,32.5,86.2,7.6,6.2,5.9,18.7,74.3,,108,,1003,537,466,
571,193,2005,257772,5.3,5280.0,2.7,30.3,67.1,7.5,25.7,66.8,23.8,45.9,61.8,74,103,,46991,55033,- 8 042,- 8 015
572,193,2010,375348,3.0,7276.0,2.6,30.2,67.2,4.9,24.4,70.7,24.7,44.7,60.5,100,117,,82626,82949,-323,- 5 492
573,193,2018,295440,0.3,5274.0,2.4,28.9,68.6,5.5,23.4,71.2,28.5,47.9,62.0,146,117,,88268,83031,5237,- 8 607
574,194,2005,,,,,,,56.5,18.8,24.6,12.2,70.6,77.2,,,,,,,
