id,country_id,year,GDP,GDP growth,GDP per capita,Agriculture,Industry,Services,Agriculture employment,Industry employment,Services employment,Unemployment rate,Labour participation (females),Labour participation (males),CPI,Agricultural index,Industrial index,Exports,Imports,Trade balance,Current account
674,223,2010,40285,7.8,11938.0,8.0,27.3,64.7,11.6,21.4,67.0,7.2,55.3,76.7,100,119,,6724,8622,- 1 898,-731
675,223,2018,52420,1.5,15221.0,6.6,27.8,65.6,8.0,19.8,72.2,8.3,56.3,74.6,175,118,,7889,8458,-568,926
676,224,2005,14396,7.0,543.0,29.5,29.1,41.4,34.7,32.2,33.1,8.3,52.3,74.6,,100,100,4458,3657,801,
677,224,2010,39526,8.5,1382.0,19.8,33.3,46.9,27.2,37.1,35.7,8.2,53.0,75.7,,127,165,11587,8381,3206,
678,224,2018,67779,6.0,2155.0,17.6,32.9,49.5,21.4,37.7,40.9,6.9,53.8,78.0,,167,175,13894,12998,896,
679,225,2005,395,5.3,1886.0,24.1,8.5,67.4,64.2,5.5,30.3,5.6,61.5,79.1,84,100,,38,149,-111,-34
680,225,2010,701,1.6,2966.0,21.9,13.0,65.0,61.4,6.9,31.7,5.4,61.2,79.5,100,128,,46,276,-230,-42
681,225,2018,838,4.0,3097.0,27.0,9.6,63.5,64.7,6.0,29.4,5.2,61.5,79.7,108,124,,38,313,-275,-82
682,226,2005,145514,10.3,5433.0,4.0,56.9,39.2,9.8,21.0,69.3,11.4,49.7,80.6,,101,,55413,21848,33565,25447
683,226,2010,393806,-1.5,13566.0,5.7,51.0,43.4,9.1,23.9,67.0,8.4,50.6,79.3,100,111,,66963,32343,34620,5585
684,226,2018,291376,-16.5,9230.0,5.6,39.2,55.3,10.0,23.6,66.4,7.7,50.4,77.3,772,109,,11563,6771,4792,- 3 870
685,227,2005,57633,7.5,684.0,19.3,38.1,42.6,54.6,18.9,26.5,2.3,72.5,81.4,60,100,100,32447,36761,- 4 314,-560
686,227,2010,115932,6.4,1310.0,21.0,36.7,42.2,48.8,21.4,29.7,2.6,72.5,81.6,100,120,156,72237,84839,- 12 602,- 4 276
687,227,2018,205276,6.2,2171.0,18.1,36.4,45.5,39.6,25.3,35.1,2.1,73.2,83.4,156,138,199,203526,218338,- 14 813,6124
688,228,2005,,,,,,,,,,,,,,102,,1,51,-50,
689,228,2010,,,,,,,,,,,,,,105,,1,35,-34,
690,228,2018,,,,,,,,,,,,,,112,,1,57,-55,
691,229,2005,,,,,,,38.0,29.2,32.8,8.1,26.9,79.0,,100,,,,,
692,229,2010,,,,,,,34.6,30.2,35.2,7.9,28.1,79.5,,102,,,,,
693,229,2018,,,,,,,30.6,30.9,38.4,7.3,28.9,79.6,,107,,,,,
694,230,2005,19041,5.1,925.0,9.6,43.8,46.5,30.1,15.7,54.2,16.1,23.6,71.3,60,98,,5608,5400,208,624
695,230,2010,29031,7.8,1230.0,12.1,34.4,53.4,24.1,19.0,56.9,17.8,24.8,71.4,100,136,,6437,9255,- 2 818,- 1 054
696,230,2018,25374,-9.8,920.0,15.4,31.0,53.6,47.7,12.2,40.1,16.1,26.2,73.7,158,141,,637,7162,- 6 525,- 3 026
697,231,2005,8332,7.2,691.0,15.5,28.6,55.9,72.8,6.8,20.4,10.4,73.7,85.7,60,100,100,1810,2558,-748,-232
698,231,2010,20265,10.3,1463.0,10.0,34.1,55.9,63.4,8.8,27.8,13.2,71.1,82.2,100,164,141,7200,5321,1879,1525
699,231,2018,21063,3.6,1270.0,5.1,35.8,59.2,53.0,12.0,35.0,7.8,70.1,79.6,181,183,157,8363,9145,-782,- 1 006
700,232,2005,6223,-4.1,481.0,12.3,41.9,45.9,72.6,10.4,17.0,4.5,77.1,88.2,,92,,1394,2072,-679,
701,232,2010,10052,15.4,714.0,13.4,28.4,58.1,69.0,9.4,21.6,5.3,77.4,88.4,100,98,,3199,5852,- 2 653,- 1 444
702,232,2018,16124,0.7,998.0,11.2,24.3,64.5,68.6,7.4,24.0,5.1,78.9,89.3,106,100,,3465,5449,- 1 985,-591
